"Word","Meaning","Usage"
"manicure","noun:	A cosmetic treatment of a person’s hands, especially the nails.
verb tr., intr.:	1. To take care of the hands and fingernails.
	2. To groom in a meticulous manner.
","“Remarkably little is known about Putin’s private life. His public image is carefully manicured.” Matthew Chance & Mick Krever; Gym, Spa, Beauty Equipment: Leaked Documents Reveal Hidden Details of Putin’s ‘Ghost’ Train; CNN.com; Jul 10, 2023. “The palace’s manicured gardens and lavish interiors transport guests to a bygone era of opulence and splendor.” 7 Luxurious Resorts; Financial Express (New Delhi, India); May 13, 2023."
"umbra","noun:
1. Shade; shadow.
2. The darkest inner part of a shadow, as during an eclipse.","“India is an emerging economy, however, its transition is taking place in the umbra of China’s yet more majestic prominence.” India in the Era of Rising Minilateralism; Tehelka (New Delhi, India); Jan 16, 2022."
"occultation","noun:
1. The state of being hidden or blocked.
2. The passage of a celestial object in front of another, hiding it from view.","“Matt Rinaldi [came to] to Dallas to work at a law firm at about the time when Texas Democrats were sliding into occultation.” Christopher Hooks; Sinners in the Hands of an Angry GOP; Texas Monthly (Austin); Dec 2023. “A pair of amateur astronomers were setting their telescopes, hoping to catch an elusive occultation, where for a few seconds, an asteroid too faint to see would block out the light from a star.” Henry Melton; Lighter Than Air; Wire Rim Books; 2008."
"penumbra","noun:
1. A surrounding area or fringe, a zone of influence or activity that is less distinct or certain.
2. A partly shaded region between fully dark and fully lit.
3. The diffuse area around the dark central area of a sunspot.","“If the mainstream debate is robust, its penumbra is toxic.” Arguing Over Iran; The Economist (London, UK); Sep 5, 2015."
"umbrageous","adjective:
1. Inclined to take offense easily.
2. Cast in shadow; shaded.
3. Providing shade.","“Q: Is it possible to spend time with friends whose company I do enjoy without incurring the wrath of the umbrageous? Judith Martin; Host Needs Specific Dates for Holiday Guests; The Atlanta Journal-Constitution (Georgia); Dec 8, 2019. “Dark, umbrageous, sometimes pungent, [the streets] have had their ups and downs.” Michael Frank; It’s Not Rome or Venice. That’s Part of Its Charm; The New York Times; Apr 30, 2017. “I think clumps of wide-spreading, umbrageous trees close off the space overhead.” Michael McCoy; Feels Good, Looks Good; The Age (Melbourne, Australia); Jul 29, 2006."
"totality","noun:
1. The condition or quality of being complete or whole.
2. An aggregate amount or sum.
3. The phase of an eclipse when an obscuring body completely blocks the light source, e.g., when the moon completely blocks the view of the sun.","“The ‘I’ we experience is smaller than, and different from, the totality of who and what we are.” Joshua Rothman; As Real as It Gets; The New Yorker; Apr 2, 2018. “The next total solar eclipse after Apr 8 occurs Aug 12, 2026. However, because its path of totality is short-lived and mostly in secluded areas, it might be a less popular target. It will touch Greenland, Iceland, and northern Russia, as well as a small part of Portugal and Spain.” Michael E. Bakich; The Next 20 Years of Eclipses; Astronomy (Milwaukee, Wisconsin); Apr 2024."
"precipitate","verb tr.:	1. To make something, especially something undesirable, happen prematurely or suddenly.
	2. To throw suddenly.
	3. To cause (water vapor in the atmosphere) to condense and fall as rain, snow, hail, etc.
	4. To cause a solid substance to be separated from a solution.
verb intr.:	1. To separate from a solution as a solid.
	2. To condense from water vapor in the atmosphere and fall as rain, snow, hail, etc.
adjective:	1. Headlong; hasty; rash; abrupt.
	2. Happening unexpectedly.
noun:	1. A solid separated from a solution.
	2. Moisture condensed as rain, snow, hail, etc.
","“What’s more, my deception precipitated a major and unforeseen consequence.” Daniel D. Victor; The Final Page of Baker Street; MX Publishing; 2014. “[Jo] precipitated herself into the arms of a stately old gentleman.” Louisa May Alcott; Little Women, Vol 1; Roberts Brothers; 1868."
"titrate","verb tr.:
1. To carefully adjust something in measured increments to achieve a desired balance or effect.
2. To determine the concentration of a solution by gradually adding another solution until a specific reaction, often indicated by a color change, occurs.","“The error lies in thinking that one can titrate the application of violence to achieve exquisitely precise results.” Eliot A. Cohen; Putin Is Cornered; The Atlantic; Sep 20, 2022. “He’d titrate what he told the elders until he saw which way the wind blew.” Ann Gimpel; Unbalanced; Ann Gimpel Books; 2018."
"crucible","noun:
1. A vessel used for heating substances to a high temperature.
2. A trying experience.
3. A situation or place where forces interact to bring about great changes.","“Another political crucible for [Steve] Reed was his experience of being a gay man during the era of Margaret Thatcher’s ‘horrific anti-gay legislation’.” Freddie Hayward; Encounter; New Statesman (London, UK); Mar 8-14, 2024. “‘The Notre-Dame isn’t just a religious building -- it has been a crucible for music for almost 1000 years,’ says Valentine.” Ali Gripper; Cathedral Rebirth Inspires Musical Trip; Sydney Morning Herald (Australia); Feb 27, 2024."
"volatile","adjective:
1. Fluctuating widely and unpredictably.
2. Evaporating easily.
3. Explosive.
4. Capable of flying.","“She decided not to rely on Rhy’s good nature, which was a chancy thing at best. Rhy was hair-triggered, volatile, never predictable.” Linda Howington; An Independent Wife; Harlequin; 1982."
"sublimate","verb tr.:	1. To divert basic or instinctual impulses to something more socially acceptable.
	2. To refine or purify.
verb tr., intr.:	To directly transform from solid to gas, or vice versa, bypassing the liquid state.
adjective:	Refined; purified; elevated; exalted.
noun:	A substance obtained by sublimating.
","“But he mustn’t show it; he must subdue his eagerness and sublimate his need.” Edwin L. Millet; Another Kind of Hero; Xlibris; 2014."
"neophilia","noun: The love of what’s new or novel.","“Neophilia is at the root of the growing problem of hazardous waste in the US and other developed countries. More than 100 million mobile phones were discarded in the US last year, along with tens of millions of computers.” Neophiliac; New Scientist (London, UK); Jun 10, 2006."
"pyrophobia","noun: An extreme fear of fire.","“I checked the oven was switched off for the fifth time. ... I suffered pyrophobia but no matter how hard I tried I couldn’t seem to rid myself of it.” They Said My Fire Fears Were Silly, But My Worst Nightmare Came True; As Told to Joanna Singleton; The Daily Mirror (London, UK); Mar 20, 2007. “Piero de Cosimo is said to have been ... so pyrophobic that he rarely cooked his food, subsisting mostly on hard-boiled eggs that he prepared 50 at a time while heating glue for his art.” Carol Vogel; A Renaissance Master, His Quirks and His Art; The New York Times; Jul 25, 2014."
"arithmomania","noun: An obsessive preoccupation with numbers, calculations, and counting.","“Nikola Tesla was notorious for his compulsion to count items, especially in his later years. ... His arithmomania was an expression of what some modern psychologists believe to be his OCD.” Amy M. O’Quinn; Nikola Tesla for Kids; Chicago Review Press; 2019."
"zoolatry","noun:
1. The worship of animals.
2. Extreme devotion to animals, for example, to one’s pets.","“Dolphins have dethroned Christ, but don’t be fooled by that smile. Around here, zoolatry is amping up.” Anson Cameron; Can’t Find God? Try Flipper; The Age (Melbourne, Australia); Nov 14, 2020."
"cryptogenic","adjective: Of unknown origin or cause.","“‘Barney loves her, I know that,’ said Bennett. ‘He wants to marry her. Yet for reasons we might diagnose as cryptogenic, she keeps saying no.’” Erich Segal; Doctors: A Novel; Bantam; 1988."
"proprioception","noun: The awareness of location of parts of one’s body.","“Typing and playing the piano without looking at the keys, for instance, require proprioception.” Ben McGrath; Muscle Memory; The New Yorker; Jul 30, 2007."
"macrosmatic","adjective: Having a well-developed sense of smell.","“[George Orwell was] a macrosmatic writer tracking down the stench of hypocrisy or the gangrene of intellectual treachery.” Dennis Potter; Despair and an Acre of Calm; The Times (London, UK); Oct 5, 1968."
"photophobia","noun: An abnormal sensitivity to light.","“‘Do you always have to wear those sunglasses?’ she snapped. ... ‘Yes, I pretty much always wear them outdoors. I have a mild form of photophobia.’” Nola Cross; A Family for Christmas; Tule Publishing; 2019."
"amusia","noun: The inability to recognize, reproduce, or appreciate music.","“The woman (who eventually decided she had amusia) had spent her life attending concerts out of politeness.” Christopher Borrelli; Don’t Like Music? You Are Not Alone; Chicago Tribune; (Chicago, Illinois); Aug 3, 2014."
"gustatory","adjective: Relating to the sense of taste.","“For many Japanese the classical gustatory quartet of sour, sweet, salty, and bitter seems insufficient. They suggest there are other basic tastes, and are prepared to back that suggestion with scientific research.” The Tastemakers; The Economist (London, UK); Jan 31, 2015."
"elliptic","adjective
1. Marked by extreme economy of expression in speech or writing.
2. Cryptic, ambiguous, or obscure.
3. Marked by ellipsis: the omission of one or more words from a sentence.
4. Relating to or shaped like an ellipse.","“Engagingly poetic -- though, at times, maddeningly elliptic -- the novel interweaves Manod’s canny observations with other villagers’ memories, songs, and folktales.” Daneet Steffens; An Island Community Contends With Nature, War, and Outsiders; Boston Globe (Massachusetts); Apr 21, 2024."
"triangulation","noun:
1. Determining the position of a point by measuring angles to it from two points a known distance apart.
2. Positioning between two extremes, especially in politics.","“Sir Keir’s approach to winning the nomination has been a study in careful triangulation. He has gone out of his way to praise both Tony Blair and Mr Corbyn.” The Man Who Dares to Be Dull; The Economist (London, UK); Feb 29, 2020."
"squarely","adverb:
1. In a straightforward or frank manner.
2. Firmly.
3. Directly.
4. At right angles.","“After writing and revising three chapters of what I envisioned as my first book, I showed a draft to my wife, an endocrinologist. She read them, and then looked at me squarely. ‘They’re awful,’ she said.” Jerome Groopman; The Scalpel and the Pen; The New Yorker; Jul 25, 2022."
"tangent","noun:	1. A line of thought or action that diverges from the main topic or course.
	2. A line that touches a curve or a surface at one point but doesn’t cross it.
adjective:	1. Straying from the main topic.
	2. Touching a curve or a surface at one point without crossing it.
","“Be cognizant of the exact question you were asked and make sure to answer it fully before going off on a tangent.” Ryan Joseph; Job Interview Etiquette; Security Business (Fort Atkinson, Wisconsin); Nov 2023. “If once this tangent flight of mine were over, and I were returned to my wonted leisurely motion in my old circle, I may probably endeavour to return her poetic compliment in kind.” Robert Burns; The Letters of Robert Burns, Vol 1; Oxford University Press; 1986."
"asymptote","noun:
1. Something or someone that gets closer and closer but never touches.
2. A straight line whose distance to a curve approaches zero as the curve approaches infinity.","“Language, in relation to thought, must ever be regarded as an asymptote.” F.W. Farrar; Essay on Origin of Language; John Murray; 1860. “If I were a function, you would be my asymptote. I always tend toward you.” Penny Reid; Neanderthal Seeks Human; Cipher-Naught; 2013. “He scooped her into his arms and carried her into the interior part of the house. A place where they would pledge their love and become the asymptote that defied all the odds, when it dared to intersect and join lovers as one.” ina Beckett; How to Win the Surgeon’s Heart; Harlequin; 2021."
"snail mail","noun: The physical delivery of letters and other material. Also, a piece of such mail.
verb tr., intr.: To send a letter or other material by the postal system.","“Brent once told me you still keep up with your friends by snail mail, and I think that’s so special, but writing things by hand requires a personal touch.” Ginny Baird; The Duplicate Bride; Entangled Publishing; 2020. “He also hadn’t called, texted, snail mailed, or courier pigeoned.” Elle Kennedy & Sarina Bowen; Him; Rennie Road Books ; 2021."
"greenmail","noun: The practice of buying a large quantity of a company’s stock as a means of hostile takeover, then selling it back to the company at a higher price.
verb tr.: To subject a company to this tactic.","“The team pulled together by the bond holders ... suggests that they are in for the longer haul -- not just for a quick buck through greenmail.” Richard Gluyas; Surprise Move Adds to the Turbulence in Airline Dogfight; The Australian (Canberra); Jun 25, 2020."
"postal","adjective:
1. Relating to the mail or the post office.
2. Very angry, insane, or violent.","“‘I still have every expectation that you’ll be nominated by the White House and confirmed by the Senate as the youngest woman on the federal appeals bench, to say nothing of the prettiest.’ ... ‘Any more flattery like that today and I’ll go postal.’” Elizabeth Lowell; The Wrong Hostage; Avon; 2006."
"mailed fist","noun: A threat or show of force to maintain control.","“[Field Marshal John French] always felt conflicted over Ireland and vacillated between the mailed fist and the hand of friendship towards the Irish.” Ronan McGreevy; An Irishman’s Diary; Irish Times (Dublin); May 8, 2018."
"graymail","noun:	1. A defense tactic in an espionage trial where the accused threatens to reveal secrets to avoid prosecution.
	2. Email that the recipient no longer finds valuable even though it’s not spam. For example, a newsletter from a company where one has shopped.
verb tr.:	To compel the prosecution to drop charges by threatening to disclose sensitive information.
","“We plan to embarrass the hell out of them. We’re going to graymail them. Bring out operation info, stuff they don’t want out in the daylight.” Joseph Finder; High Crimes; William Morrow; 1998. “She was going through the graymail, trashing unwanted messages, of which we’d had a rash last night.” Craig Johnson; Another Man’s Moccasins; Penguin; 2008."
"galvanic","adjective:
1. Stimulating; energizing; shocking.
2. Relating to electric current, especially direct current.","“[The demonetization] caused economic carnage -- but also gave digital payments a galvanic boost.” E-Rupification; The Economist (London, UK); Jun 8, 2019. “The face sensors supplied one set of data points. So did a device that analyzed galvanic skin response.” Sue Halpern; Flying Aces; The New Yorker; Jan 24, 2022."
"stan","noun: An extremely zealous or obsessive fan.
verb tr., intr.: To be or act as such a fan.","“Trump loves to encourage his brainwashed stans to boo and hiss at ‘the media’.” Vinay Menon; As Trump Shovels, the Media Grovels; Toronto Star (Canada); Jan 18, 2024."
"maecenatism","noun: Patronage, for example, the support or financial sponsorship provided to artists, musicians, or writers.","“In several port cities, museums and artists used to be sponsored by captains of port industry. ... In our view, port authorities should take initiatives aimed at reviving and structuring such port and shipping-based maecenatism.” Eric Van Hooydonk; Soft Values of Seaports; Garant; 2007."
"alastor","noun: An avenger.","“It’s too bad you went to Eton and Oxford, Roundsby. If you had been brought up by a gypsy grandmother, you would have recognized an alastor too, and perhaps taken steps to be rid of me.” Rebecca J. Allred, et al.; Chilling Horror; Flame Tree; 2016."
"Pygmalion","noun: A mentor, especially a man who mentors a woman.
adjective: Describing a word considered offensive, such as a swear word.","“So many parents fashion themselves novice Pygmalions, obsessed with the notion that their spawn will be the masterpiece of a lifetime.” Jean-Louis Baroux; Terror Over the Vatican; L’Archipel; 2014. “Pat was enraged at the thought and told him so in no uncertain terms. ‘Married to you? Not Pygmalion likely.’” Rebecca Shaw; Village Matters; Phoenix Books; 1996. “Emma Duffin reported that one of her charges ‘used the Pygmalion word to me’ (bloody), but she made him apologise.” Julian Walker; Words and the First World War; Bloomsbury; 2017."
"pitch-perfect","adjective:
1. Perfect in every way, especially in being sensitive to a particular situation.
2. Right tone, pitch, mood, etc.","“Hanks captures the child’s-eye view of the world with pitch-perfect accuracy.” Emma Brockes; Tom Hanks Turns Author With “Uncommon Type”; The Guardian (London, UK); Oct 14, 2017."
"fanfare","noun:
1. A showy public display.
2. A brief, lively sounding of brass instruments, especially trumpets, in a celebration.","“And so, a country so rich in bamboo, must celebrate the plant with much fanfare.” Lakshana Palat; The Korean Damyang Bamboo Festival; Gulf News (Dubai); May 9, 2024."
"downbeat","noun:	1. The downward stroke of a conductor indicating the first or an accented beat of a measure.
	2. The first beat of a measure.
adjective:	1. Gloomy or pessimistic.
	2. Understated, muted, or restrained.
","“My friend Josh was even more downbeat, concerned it would undo all of the progress I’d made over the last year.” Lynne Raimondo; Dante’s Poison; Seventh Street Books; 2014."
"boogie","verb intr.:	1. To move, go, or depart quickly.
	2. To dance in an energetic manner, especially to rock music.
noun:	1. A style of blues music played on the piano, characterized by a fast tempo and repetitive bass pattern.
	2. A form of lively dance.
","“Kerr boogied on over for a chat with her teammates.” Will Swanton; Secret Circle of Matildas Captain; The Australian (Canberra); Aug 4, 2023."
"fiddle-faddle","noun: Nonsense.
verb intr.: To trifle.","“You’re wasting time, young man. All this fiddle-faddle about plots.” Frances & Richard Lockridge; Dead as a Dinosaur; J.B. Lippincott; 1952."
"Hooray Henry","noun: A young, upper-class man who behaves in a loud, obnoxious, and often pretentious manner.","“It’s no use wanting a really good woman if you insist on partying every night and being a Hooray Henry.” Dina Zaman; Do You Want Her or Don’t You?; New Straits Times (Kuala Lumpur, Malaysia); May 13, 1998. “‘This is kind of like my last hurrah,’ Henry said.” Celeste Whittaker; R-C Golf Team Makes NCAAs; Courier Post (Cherry Hill, New Jersey); May 5, 2009."
"nervous Nelly or Nellie","noun: One who is unusually nervous, timid, or fearful.","“McPhee countered: ‘He is a bit of a nervous nelly. He’s a helicopter dad. He’s not adventurous at all.’” Jon Bream; Are Foster and McPhee Sonny & Cher of Ballads?; Star Tribune (Minneapolis, Minnesota); May 1, 2024. “‘I was nervous,’ Nelly said.” Olivia Reiner; Nelly Korda Wins Women’s Golf Tournament; USA Today (Arlington, Virginia); Aug 7, 2021."
"flash Harry","noun: A man who dresses and behaves in a vulgar, showy, or pretentious manner.","“‘My son, Simon, talked me into buying the Porsche,’ she chuckled after the event. ‘I had always wanted one -- but at my age! When the police stopped me I think they thought it was going to be some flash Harry, but out came this fat little old lady.’” Steve Pratt; Marvellous Mollie; Northern Echo (Darlington, UK); Sep 8, 2010. “‘Quick as a flash,’ Harry said.” Siobhan McNally; Let’s Do This Together; The Daily Mirror (London, UK); Jun 21, 2023."
"Aunt Sally","noun:
1. An object of criticism.
2. Someone or something set up as an easy target for criticism in order to deflect it from others.","“Yet John Howard seems unable to ever see trouble coming. He is an Aunt Sally in a government of learners.” Alan Ramsey; The Travel Club Genie Is Out; Sydney Morning Herald (Australia); Oct 4, 1997. “‘Please wait, Aunt,’ Sally said hopefully.” Reem Bassiouney (Translation: Osman Nusairi); The Pistachio Seller; Syracuse University Press; 2013."
"good-time Charlie/Charley","noun: One devoted to the pursuit of convivial fun and amusement.","“George Harris Hees ...was simply too flashy, too good-looking, and too much a good-time Charlie to be taken seriously.” Donn Downey; George Hees Ex-Cabinet Minister Served Under Two Prime Ministers; The Globe and Mail (Toronto, Canada); Jun 13, 1996. “‘I’m going to dance, do whatever it takes to have a good time,’ Charlie said.” Eugene Sutherland; Prom Time; The Town Talk (Alexandria, Louisiana); May 12 2002."
"perp","noun: One who commits a crime or is accused of committing one.","“But religious fraud is particularly common, because people find it hard to imagine that the pastor is a perp.” Fleecing the Flock; The Economist (London, UK); Jan 28, 2012."
"pejorist","noun: A person who believes that the world is getting worse.","“[A.E.] Housman, who despised all publicity and rejected all honours (including an OM) and saw himself as a pejorist, not a pessimist.” Peter Jones; Ancient and Modern: Respect vs Rigour; The Spectator (London, UK); Dec 19, 2020."
"gaberlunzie","noun: A wandering beggar, especially one who is licensed.","“Father said dubiously: ‘I thought captains of ships dressed a lot better than that fellow; he looks more like a gaberlunzie to me.’” Lillian Beckwith; About My Father’s Business; Sheridan; 1973."
"dandiprat","noun
1. An inconsequential person.
2. A person of small stature.
3. A child.","“In return, Conservatives could dismiss Mr Corbyn as a dandiprat, a figure of no significance, and a mere grumbletonian.” This Mugwump Is a Dandiprat; The Sunday Times (London, UK); Apr 30, 2017."
"logodaedalus","noun: One skilled with words.","“Burgess was a tireless logodaedalus -- a term he might well have applied to himself, for he was a connoisseur of big words -- producing novel after novel, each one completed in a matter of months or even weeks.” John Banville; The Clockwork Author Anthony; Irish Times (Dublin); Dec 24, 2005."
"lentitude","noun: Slowness or sluggishness.","“This lentitude I incline to attribute to his nurse’s liberal use of laudanum as a pacifier.” Jaspistos; Kid Brother; The Spectator (London, UK); Jun 26, 2004."
"virid","adjective: Bright green.","“The grilled scallops come set over silky, virid pea puree.” Chris Nuttall-Smith; The Chase Wins the Race; The Globe and Mail (Toronto, Canada); Oct 5, 2013."
"coterminous","adjective:
1. Having the same or coincident boundaries.
2. Meeting at the ends.
3. Contained within the same boundaries.
4. Having the same scope, meaning, extent, etc.: synonymous.","“The perfect manual of style would be like the perfect map of the world: exactly coterminous with its subject, containing a rule for every word of every sentence.” Louis Menand; The End Matter; The New Yorker; Oct 6, 2003."
"salvific","adjective: Having the power to save or redeem.","“For years I had believed that love held out the one hope of cleaning me and making me whole. Now I knew the truth. Love was just another way I’d wished in vain to be fixed. There was no salvific silver bullet.” Corey White; Last Lines at Story Bridge; The Age (Melbourne, Australia); Jun 29, 2019."
"hyaline","adjective: Like glass: transparent or translucent.
noun: A substance that is transparent or translucent.","“He shared the same color blue to his eyes as Max had, clear and hyaline like a glassy sky.” Daniel Robinson; After the Fire; Skyhorse Publishing; 2015."
"balsam","noun
1. Something that soothes or heals.
2. An aromatic resinous substance from certain trees and plants.
3. A preparation, for example an ointment, made with such a substance.
4. Such a tree or a plant.","“It’s a book [Lifelines for Caregivers] specially made for caregivers, but a balsam to the soul of any human being who has ever felt overwhelmed by life.” Valerie Zehl; Book Puts Caregivers on Solid Foundation; Press & Sun-Bulletin (Binghamton, New York); Apr 2, 2006. “It’s balsam to the ear after so much wobbling from other singers.” Donald R. Vroon; Richard Wagner; American Record Guide (Washington, DC); Jul/Aug 2021."
"exultation","noun: The act or state of triumphant joy.","“Enzo as a competitor, grinning with exultation at the wheel.” Anthony Lane; Over the Limit; The New Yorker; Jan 1, 2024."
"balderdash","noun: Nonsense.","“It was a stream of mostly idle rumours and balderdash, embellished half-truths and barstool gossip.” Harte Still Standing in Derry; Irish Times (Dublin); Jun 6, 2024."
"transgression","noun: A violation of legal or moral boundaries.","“Not all transgressions are created equal, with betrayals (affairs, broken promises) topping the list of offences most likely to be left unpardoned.” Katie Underwood; The Gift of Forgiveness; Chatelaine (Toronto, Canada); Dec 2016."
"amiable","adjective: Pleasant; friendly.","“Mr Rutte’s amiable demeanour masks a killer political instinct.” Farewell to the Dutch Tigger; The Economist (London, UK); Jul 15, 2023."
"palooka","noun:
1. Someone incompetent or inexperienced, especially as a boxer.
2. A clumsy or foolish person.","“We’re not a bunch of palookas. Someone is messing with our heads, and I don’t know who it is any more.” Deon Meyer (Translation: K.L. Seegers); Seven Days; Random House; 2012. “He wasn’t no palooka. He used to be the light heavyweight champ.” Tennessee Williams; Mister Paradise and Other One-Act Plays; New Directions; 2005."
"lycanthropy","noun:
1. A delusion that one has transformed into a wolf.
2. The process of or ability to transform into a wolf.","“I refuse to believe someone would be stupid enough to infect someone with lycanthropy to have a better mall security guard.” R.J. Blain; Last but not Leashed; Pen & Page; 2018."
"heliophobia","noun: Fear of sunlight or bright light.","“Rey Diaz lived underground not out of any concern for security, but because of his heliophobia.” Cixin Liu (Translation: Joel Martinsen); The Dark Forest; Tor; 2015."
"pizzaiolo","noun: A pizza maker.","“Saucepan who, as well as being a partner in the gym, also works as a pizzaiolo at a gourmet pizzeria at the entrance to the town.” Daniel Galera; Blood-Drenched Beard; Penguin; 2015."
"sciamachy or sciomachy","noun: A mock fight or a fight with an imaginary enemy.","“Aru is indulging in sciamachy. She has the frustrated look of a person combating a shadow.” Shashi Deshpande; A Matter of Time; Feminist Press; 1999."
"cracker-barrel","adjective: Plain, rustic, homespun, direct, or unsophisticated.","“Quoting the cracker-barrel wisdom of a sales manager he knows, Dr. Grossman cautions each and every senior manager not to ‘tell a guy about your grass seed until you know something about his lawn.’” Joseph F. McKenna; Close Encounters of the Executive Kind; Industry Week (Nashville, Tennessee); Sep 6, 1993."
"jamboree","noun: A large rally, assembly, celebration, etc. characterized by festive activities and a sense of community.","“More than 2,200 people, including members of the royal family, have been invited for the three-day jamboree.” Coronation of King Charles III; The Economic Times (New Delhi, India); May 5, 2023."
"lickety-split","adverb: At great speed.","“‘There’s a wind high up in the pines,’ said Nell. ... ‘And the windmill’s goin lickety-split,’ said Howard.” Mary O’Hara; My Friend Flicka; Lippincott; 1941."
"ripstaver","noun: Something or someone remarkable.","“Monty tells me you three are real ripstavers, and he doesn’t say that very often about anybody. You must have impressed him!” Michael D. Cooper; The Runaway Asteroid; Critical Press Media; 2022."
"hunky-dory","adjective: Very satisfactory; fine.","“Now, we are told, everything is transparent, above board, and hunky-dory.” Rob Edwards; A Conflict of Interest; New Scientist (London, UK); Jun 26, 2004."
"adulterate","verb tr.: To add a cheaper or inferior substance to something.","“Marseglia denied that he has ever adulterated his olive oil with other vegetable oils.” Tom Mueller; Slippery Business; The New Yorker; Aug 13, 2007."
"metromania","noun: A mania for writing poetry.","“The entire lot of thirty poems was composed this morning, and to tell you the truth, I found rather nasty the task of parodying the product of metromania.” Vladimir Nabokov; The Stories of Vladimir Nabokov; Vintage; 1997."
"sexennial","noun: An event occurring every six years.
adjective: Happening every six years; lasting for or relating to six years.","“Asarem had captured an impressive sixty-seven percent of the vote when she’d won her second sexennial term a year earlier.” David R. George III and Una McCormack; Typhon Pact: Pocket Books; 2013."
"placer","noun:
1. A deposit of valuable minerals found in sand or gravel.
2. A place where such a deposit is washed to extract the valuable minerals.
3. One who finishes in a particular place in a contest.
4. One who arranges something.","“In a rich placer I've heard that men have washed $50 worth in one pan.” Pat Miller; Emily; Xulon Press; 2005. “Placer mining sounds like a strange hobby for a guy who’s already got money.” Paul Garmisch; Couchwife; First Edition Design; 2015."
"psychrophobia","noun: An abnormal fear of cold.","“Do you live in an igloo? Then you definitely do not have psychrophobia.” North Hills News Record (Warrendale, Pennsylvania); May 30, 1978."
"Chekhov’s gun","noun:
1. The literary principle that if an element is introduced in a story, it must be shown to have a purpose.
2. An element introduced in a story that is revealed to have a purpose later on.","“The producers rub it in a bit. ‘The Northwest Territories is home to over 3,000 bears,’ says the narrator, who speaks in a low, ominous growl and who I quickly suspect to be a bear. In dramatic terms, bears are Chekhov’s gun, and if at least one person isn’t eaten by a bear by the end of this show it will betray a loose grasp of dramatic structure on the part of the ursine narrator.” Patrick Freyne; One Survivalist Wants to “See What I’m Made Of”; Irish Times (Dublin); Aug 11, 2023."
"Parkinson’s law","noun: The observation that work expands to fill the time available.","“By some creepy Parkinson’s Law, anxiety expanded to fill the time available, especially the television time.” Hendrik Hertzberg; The Talk of the Town; The New Yorker; Oct 29, 2001. “Greta drove; I sat next to her, and the Oozer, in a spatial variation on Parkinson’s Law, contrived to fill the back seat on his own.” Hugh Leonard; A Wild People; Methuen; 2001."
"Barney’s bull","noun: Someone or something in a very bad condition or situation.","“Barney’s bull of a pain in my innards.” Charles Boardman Hawes; The Mutineers; Atlantic Monthly Press; 1920."
"John Thomson’s man","noun: A man excessively submissive to his woman.","“You know what they call you, don’t you? I hear it because they forget I’m your son sometimes. A John Thomson’s man. Someone who’s given up being a man in his own house.” Robert Crichton; The Camerons; Knopf; 1972."
"collier’s faith","noun: Unreasonable faith; blind faith.","“Our love for art might inspire in us a collier’s faith to say what others have said before and will say again after us. Namely that even if the situation is ominous, and even if we’re very poor &c. &c., yet we firmly concentrate on one single thing, on painting, naturally.” [Van Gogh writing to his brother Theo, circa Nov 8, 1883] Patrick Grant; Reading Vincent van Gogh: A Thematic Guide to the Letters; 2016."
"gruntled","adjective: Contented; happy.","“I’m glad. That you’re gruntled.” Ruby Barrett; The Romance Recipe; Carina Press; 2022."
"ept","adjective:
1. Competent; skillful.
2. Effective; appropriate.","“An ept goon would have done the job right.” Gina Robinson; Spy Games; Kensington; 2009. “I am much obliged..to you for your warm, courteous, and ept treatment of a rather weak, skinny subject.” E.B. White; Letters of E.B. White; Harper & Row; 1976."
"ruth","noun:
1. Compassion.
2. Contrition.","“Gerda [feared] that her daughter, showing no ruth, might hurt others beyond repair.” Lella Warren; Foundation Stone; Knopf; 1940."
"reck","noun: Care or concern.
verb tr., intr.: To care or concern.","“What little reck [King James] had of the faces he trod on in climbing from a pit of his own digging.” Victor MacClure; She Stands Accused; Lippincott; 1935."
"descript","adjective: Having distinctive features or qualities.","“And he had been staring at her that day, although nothing about her had been very descript until he got up close, and then everything was.” Jennie Shortridge; Love Water Memory; Gallery Books; 2014."
"gee-whiz","adjective:	1. Marked by wonder, surprise, enthusiasm, etc.
	2. New; impressive; exciting.
interjection:	Expressing surprise, dismay, enthusiasm, annoyance, etc.
","“All that symbology he and Langdon bring to the game is never without its gee-whiz excitement.” Janet Maslin; Atlas, Buckling a Little; The New York Times; Oct 5, 2017. “I can make you mine, taste your lips of wine Anytime, night or day Only trouble is, gee whiz I’m dreamin’ my life away.” The Everly Brothers (Lyrics: Boudleaux Bryant); All I Have to Do Is Dream; Acuff-Rose Publications; Apr 21, 1958."
"sacre bleu or sacré bleu","interjection: An expression of surprise, dismay, annoyance, etc.","“The ahhs and the oohs -- and occasional sacre bleus -- perfectly matched the rhythm of the fast-paced battle.” Rick Maese; Getting the Party Started; The Washington Post; Jul 25, 2024. “A slightly farcical dispute that reaches its apex when they both turn up to an event wearing the same designer gown. Sacre bleu.” Olivia Petter; “I Would Get Home in Tears”; The Independent (London, UK); Dec 24, 2022."
"tarnation","interjection: Used to express surprise, anger, irritation, annoyance, etc.
noun: Damnation; hell.
adjective: Damned.
adverb: Damnably.","“Speaking of ignorance, what in tarnation is going on with the Miss USA pageant?” Dianne Williamson; It’s Kind of a Wacky Li’l World; Telegram & Gazette (Worcester, Massachusetts); Jun 10, 2012."
